날짜,평균기온,최고기온,강수량,평균습도
2019-08-01,26.3,30.1,26.9,86.4
2019-08-02,28.4,33.1,0.0,74.6
2019-08-03,29.4,36.0,3.0,69.0
2019-08-04,28.3,34.4,8.6,75.9
2019-08-05,30.5,35.9,0.0,65.5
2019-08-06,31.6,36.8,0.0,51.4
2019-08-07,26.9,30.3,8.0,78.1
2019-08-08,28.9,32.7,0.0,71.4
2019-08-09,29.8,34.6,0.0,69.0
2019-08-10,31.5,36.5,0.0,57.9
2019-08-11,30.4,35.7,6.7,53.6
2019-08-12,26.6,28.5,56.2,91.8
2019-08-13,29.2,35.3,6.4,76.9
2019-08-14,30.4,35.7,0.0,63.9
2019-08-15,25.9,28.6,16.2,82.0
2019-08-16,25.9,29.5,0.1,74.5
2019-08-17,25.9,28.8,0.0,69.5
2019-08-18,25.6,30.7,0.0,66.5
2019-08-19,26.3,31.3,0.0,60.6
2019-08-20,28.2,32.8,0.0,56.3
2019-08-21,27.0,30.4,1.3,67.3
2019-08-22,26.9,31.4,0.0,66.5
2019-08-23,26.2,30.5,0.0,58.4
2019-08-24,24.1,27.3,0.0,60.9
2019-08-25,25.0,29.9,0.0,66.6
2019-08-26,26.4,32.1,0.0,63.8
2019-08-27,25.7,29.3,20.0,71.1
2019-08-28,26.1,30.2,0.0,66.2
2019-08-29,23.4,26.4,36.9,77.1
2019-08-30,22.6,27.0,0.2,66.3
2019-08-31,23.5,28.9,0.0,65.0
2019-09-01,23.7,27.8,0.0,64.0
2019-09-02,24.4,29.7,0.0,56.6
2019-09-03,24.1,28.0,0.0,67.6
2019-09-04,22.8,25.5,22.7,89.0
2019-09-05,23.0,27.6,36.4,91.4
2019-09-06,25.3,29.1,2.4,79.8
2019-09-07,25.7,29.5,2.8,72.9
2019-09-08,24.7,27.3,0.0,76.9
2019-09-09,25.1,28.0,0.0,74.3
2019-09-10,23.8,26.5,63.2,93.4
2019-09-11,24.3,28.7,7.6,71.4
2019-09-12,21.0,22.9,3.9,72.3
2019-09-13,23.3,29.3,0.1,60.4
2019-09-14,22.4,24.1,0.3,80.0
2019-09-15,24.2,30.0,0.0,70.4
2019-09-16,24.5,30.5,0.0,53.0
2019-09-17,23.5,29.0,0.0,41.6
2019-09-18,21.0,25.4,0.0,46.0
2019-09-19,19.5,26.0,0.0,46.5
2019-09-20,19.6,24.2,0.0,52.8
2019-09-21,19.6,22.1,0.0,60.3
2019-09-22,18.6,19.6,0.4,63.4
2019-09-23,20.0,24.6,0.0,51.1
2019-09-24,19.8,26.5,0.0,61.3
2019-09-25,20.9,27.4,0.0,64.4
2019-09-26,22.9,29.0,0.0,59.3
2019-09-27,22.9,27.0,0.0,57.5
2019-09-28,23.7,29.2,0.0,58.9
2019-09-29,22.6,28.6,0.0,60.6
2019-09-30,22.4,29.9,0.0,61.0
2019-10-01,23.1,28.2,0.0,67.1
2019-10-02,21.6,24.2,23.1,88.0
2019-10-03,22.4,27.3,4.6,73.4
2019-10-04,22.4,27.8,0.0,71.5
2019-10-05,18.7,21.9,0.6,72.6
2019-10-06,18.1,22.7,0.0,53.4
2019-10-07,14.8,17.9,25.4,92.0
2019-10-08,14.7,19.8,0.0,58.8
2019-10-09,13.6,20.4,0.0,48.3
2019-10-10,15.2,19.8,0.0,60.9
2019-10-11,18.8,26.1,0.0,60.0
2019-10-12,17.9,23.3,0.0,49.3
2019-10-13,17.2,23.8,0.0,52.6
2019-10-14,14.4,19.6,0.0,56.9
2019-10-15,14.5,20.4,0.0,55.6
2019-10-16,14.6,20.8,0.0,58.3
2019-10-17,15.4,21.6,0.0,56.0
2019-10-18,17.0,22.7,0.0,58.3
2019-10-19,17.0,23.1,0.0,63.8
2019-10-20,16.5,22.9,0.0,70.3
2019-10-21,17.1,24.6,0.0,61.0
2019-10-22,18.1,24.4,0.0,56.1
2019-10-23,17.0,20.7,0.0,57.3
2019-10-24,18.3,23.8,0.0,47.6
2019-10-25,16.7,22.0,0.0,58.0
2019-10-26,10.0,14.9,0.0,60.0
2019-10-27,11.0,17.4,0.0,59.0
2019-10-28,12.9,17.7,1.7,65.9
2019-10-29,12.5,17.6,0.1,61.0
2019-10-30,11.2,17.7,0.0,60.3
2019-10-31,14.8,19.7,0.0,73.8
